Category (What),Section,Subsection,YP ID
Lubricants,Industrial supplies & services,"Adhesives, Chemicals, Inks, Dyes & Lubricants",00785800
Lubricating Equipment,Industrial supplies & services,"Adhesives, Chemicals, Inks, Dyes & Lubricants",00785990
Polyurethane Products,Industrial supplies & services,"Adhesives, Chemicals, Inks, Dyes & Lubricants",01042800
Protective Coatings,Industrial supplies & services,"Adhesives, Chemicals, Inks, Dyes & Lubricants",00310600
Solvents,Industrial supplies & services,"Adhesives, Chemicals, Inks, Dyes & Lubricants",01225200
Urethane Products,Industrial supplies & services,"Adhesives, Chemicals, Inks, Dyes & Lubricants",01379875
Bleachers & Grandstand Seats,Industrial supplies & services,Amusement equipment & device,00157000
Coupon & Ticket Printing,Industrial supplies & services,Amusement equipment & device,01319200
Disco Equipment,Industrial supplies & services,Amusement equipment & device,00428700
Pool Tables & Equipment,Industrial supplies & services,Amusement equipment & device,00152000
Seat Manufacturers & Wholesalers,Industrial supplies & services,Amusement equipment & device,01174400
Sound Systems & Equipment,Industrial supplies & services,"Audio, video & motion pictures equipment & services",01228000
Theatrical Scenic Painting,Industrial supplies & services,"Audio, video & motion pictures equipment & services",01163000
Cooling Towers,Industrial supplies & services,"Heating, Cooling, Ventilation & Air Conditioning",00365000
Gas Burners,Industrial supplies & services,"Heating, Cooling, Ventilation & Air Conditioning",00616800
Industrial Equipment & Supplies,Industrial supplies & services,"Heating, Cooling, Ventilation & Air Conditioning",00704000
Smoke Stacks,Industrial supplies & services,"Heating, Cooling, Ventilation & Air Conditioning",01216800
Steeplejacks,Industrial supplies & services,"Heating, Cooling, Ventilation & Air Conditioning",01244800
Sanitary Products,Personal Care,,01157300
Soaps & Detergents,Personal Care,,01218800
Steam Bath Equipment & Supplies,Personal Care,,01241000
Toilet Preparations,Personal Care,,01331200
Alternative Health,Personal Care,"Barbers, Beauty Salons & Spas",00042825
Aromatherapy,Personal Care,"Barbers, Beauty Salons & Spas",00069500
Barbers,Personal Care,"Barbers, Beauty Salons & Spas",00124600
Barbers' Equipment & Supplies,Personal Care,"Barbers, Beauty Salons & Spas",00125000
Baths & Saunas: Relaxation,Personal Care,"Barbers, Beauty Salons & Spas",00131838
Beauty & Health Spas,Personal Care,"Barbers, Beauty Salons & Spas",01230205
Beauty Institutes,Personal Care,"Barbers, Beauty Salons & Spas",00135200
Beauty Salon Equipment & Supplies,Personal Care,"Barbers, Beauty Salons & Spas",00136000
Black Hair Salons,Personal Care,"Barbers, Beauty Salons & Spas",02000088
Estheticians,Personal Care,"Barbers, Beauty Salons & Spas",00519200
Eyebrow Threading,Personal Care,"Barbers, Beauty Salons & Spas",02000089
Eyelash Extensions,Personal Care,"Barbers, Beauty Salons & Spas",02000094
Hair Extensions,Personal Care,"Barbers, Beauty Salons & Spas",02000090
Hair Salons,Personal Care,"Barbers, Beauty Salons & Spas",02000091
Hair Stylists,Personal Care,"Barbers, Beauty Salons & Spas",00660400
Hairdressers & Beauty Salons,Personal Care,"Barbers, Beauty Salons & Spas",00135600
Health Resorts,Personal Care,"Barbers, Beauty Salons & Spas",00666495
Laser Hair Removal,Personal Care,"Barbers, Beauty Salons & Spas",02000092
Massage Therapists,Personal Care,"Barbers, Beauty Salons & Spas",00830025
Massages,Personal Care,"Barbers, Beauty Salons & Spas",00830078
Massages & Alternative Treatments,Personal Care,"Barbers, Beauty Salons & Spas",00830100
Nail Salons,Personal Care,"Barbers, Beauty Salons & Spas",00899870
Reflexology,Personal Care,"Barbers, Beauty Salons & Spas",01107680
Registered Massage Therapists,Personal Care,"Barbers, Beauty Salons & Spas",00830050
Shiatsu,Personal Care,"Barbers, Beauty Salons & Spas",01193966
Wax,Personal Care,"Barbers, Beauty Salons & Spas",01422400
Waxing,Personal Care,"Barbers, Beauty Salons & Spas",02000093
Ear Piercing,Personal Care,Body Art & Piercing,00458200
Laser Tattoo Removal,Personal Care,Body Art & Piercing,01285500
Piercing & Body Art,Personal Care,Body Art & Piercing,01000300
Cosmetics & Perfumes Stores,Personal Care,Cosmetics,00371000
Manicure & Pedicure Equipment & Supplies,Personal Care,Cosmetics,00817200
Manicures & Pedicures,Personal Care,Cosmetics,00817250
Perfume & Cosmetics Manufacturers & Wholesalers,Personal Care,Cosmetics,00371190
Permanent Make-Up,Personal Care,Cosmetics,00813725
Chiropodists,Personal Care,Skin & scalp services & products,00284905
Electrolysis Equipment & Supplies,Personal Care,Skin & scalp services & products,00481200
Electrolysis Treatments,Personal Care,Skin & scalp services & products,00481250
Essential Oils,Personal Care,Skin & scalp services & products,00924400
Esthetician Equipment & Supplies,Personal Care,Skin & scalp services & products,00519250
Foot Care,Personal Care,Skin & scalp services & products,00577250
Hair Goods,Personal Care,Skin & scalp services & products,00658800
Hair Removal,Personal Care,Skin & scalp services & products,00659400
Hair Transplants & Replacement,Personal Care,Skin & scalp services & products,00659650
Scalp Treatment & Products,Personal Care,Skin & scalp services & products,01162000
Skin Care Products & Treatments,Personal Care,Skin & scalp services & products,01212885
Tanning Salon Equipment & Supplies,Personal Care,Skin & scalp services & products,01279600
Tanning Salons,Personal Care,Skin & scalp services & products,01279500
Tattooing Shops,Personal Care,Skin & scalp services & products,01285400
Wigs & Hairpieces,Personal Care,Skin & scalp services & products,01428200
Industrial & Commercial Garbage Disposal Equipment,Public utilities & environment,,00612000
Industrial Waste Disposal & Reduction Service,Public utilities & environment,,01416600
Landfill Sites,Public utilities & environment,,00755600
Liquid Waste Removal,Public utilities & environment,,00777000
Recycling Equipment & Systems,Public utilities & environment,,01105975
Rubbish Removal,Public utilities & environment,,01142800
Sewage Disposal Systems,Public utilities & environment,,01188800
Sewage Treatment Systems & Equipment,Public utilities & environment,,01189000
Sewer Cleaning Equipment & Service,Public utilities & environment,,01189460
Sewer Contractors,Public utilities & environment,,01189600
Sewer Line Inspection,Public utilities & environment,,01189800
Sewer Pipes,Public utilities & environment,,01190000
Traffic & Parking Consultants,Public utilities & environment,,01345400
Waste Bins & Containers,Public utilities & environment,,00361620
Energy Conservation & Renewable Products & Services,Public utilities & environment,Energy & power,00494465
Energy Management & Consultants,Public utilities & environment,Energy & power,00494500
Gas Companies,Public utilities & environment,Energy & power,00617200
Geothermal Energy,Public utilities & environment,Energy & power,00627200
Power Plant Equipment,Public utilities & environment,Energy & power,01057000
Power Transmission Equipment,Public utilities & environment,Energy & power,01057200
Salvage,Public utilities & environment,Energy & power,01154200
Solar Energy Systems & Equipment,Public utilities & environment,Energy & power,01223000
Wind Energy Systems,Public utilities & environment,Energy & power,01428600
Environmental Conservation & Ecological Organizations,Public utilities & environment,Environment,00509000
Environmental Control Systems,Public utilities & environment,Environment,00509070
Environmental Engineers,Public utilities & environment,Environment,00496800
Environmental Products & Services,Public utilities & environment,Environment,00509078
Erosion Control,Public utilities & environment,Environment,00513800
Geophysicists,Public utilities & environment,Environment,00626800
Industrial Parks,Public utilities & environment,Environment,00704025
Noise Control,Public utilities & environment,Environment,00908300
Traffic Ticket Defense,Public utilities & environment,Environment,01345625
Mining Companies,Public utilities & environment,Mining,00868800
Mining Consultants,Public utilities & environment,Mining,00869000
Mining Contractors,Public utilities & environment,Mining,00869200
Mining Equipment & Supplies Companies,Public utilities & environment,Mining,00869600
Mining Exploration & Development,Public utilities & environment,Mining,00869400
"Offshore Oil Services, Equipment & Supplies",Public utilities & environment,Mining,00922305
Oil & Gas Field Exploration & Development,Public utilities & environment,Mining,00921800
Oil Well Equipment & Supplies,Public utilities & environment,Mining,00923400
Post Hole Diggers,Public utilities & environment,Mining,01051685
Earthquake Preparedness,Public utilities & environment,Public security,00458410
Fire Emergency Calls,Public utilities & environment,Public security,00556600
Fire Protection Consultants,Public utilities & environment,Public security,00557800
Fire Protection Service,Public utilities & environment,Public security,00558200
Fireproofing & Firestopping Materials,Public utilities & environment,Public security,00559500
Flood Damage Restoration,Public utilities & environment,Public security,00568150
Police Emergency Calls,Public utilities & environment,Public security,01039800
Traffic Signalling Equipment,Public utilities & environment,Public security,01345600
Automatic Fire Sprinkler Systems,Real-Estate & Insurance,Building Management,01235000
Building Exterior Cleaning,Real-Estate & Insurance,Building Management,00201450
Cleaning & Janitorial Supplies,Real-Estate & Insurance,Building Management,00727600
Closed Circuit Television Systems & Equipment (CCTV Systems),Real-Estate & Insurance,Building Management,01300600
Commercial Carpet Consultants,Real-Estate & Insurance,Building Management,00237600
Elevator Consultants,Real-Estate & Insurance,Building Management,00484950
Elevator Maintenance & Repair,Real-Estate & Insurance,Building Management,00485600
Elevator Parts & Supplies,Real-Estate & Insurance,Building Management,00485800
Fire Escapes,Real-Estate & Insurance,Building Management,00556800
Freight & Passenger Elevators,Real-Estate & Insurance,Building Management,00485200
Home Elevator Installation & Service,Real-Estate & Insurance,Building Management,00485700
Janitorial Service,Real-Estate & Insurance,Building Management,00727400
Letters For Signs,Real-Estate & Insurance,Building Management,00766900
Office & Desk Space Rental,Real-Estate & Insurance,Building Management,00919200
Office Buildings,Real-Estate & Insurance,Building Management,00919000
Shoplifting Prevention Systems,Real-Estate & Insurance,Building Management,01200450
Sign Equipment & Supplies,Real-Estate & Insurance,Building Management,01205600
Sign Installation,Real-Estate & Insurance,Building Management,01205900
Sign Lettering,Real-Estate & Insurance,Building Management,00766800
Sign Maintenance & Repair,Real-Estate & Insurance,Building Management,01205950
Signs,Real-Estate & Insurance,Building Management,01205200
Stair Lifts,Real-Estate & Insurance,Building Management,01237500
Store Fronts,Real-Estate & Insurance,Building Management,01252600
Wheelchair Ramps & Lifts,Real-Estate & Insurance,Building Management,01426400
Actuary Consulting & Services,Real-Estate & Insurance,Insurance,00012800
Bailiffs,Real-Estate & Insurance,Insurance,00116400
Business Insurance,Real-Estate & Insurance,Insurance,02000079
Car Insurance,Real-Estate & Insurance,Insurance,02000080
Farm Insurance,Real-Estate & Insurance,Insurance,02000081
Health Insurance,Real-Estate & Insurance,Insurance,02000082
"Health, Travel & Life Insurance",Real-Estate & Insurance,Insurance,00719280
Home Insurance,Real-Estate & Insurance,Insurance,02000083
Insurance,Real-Estate & Insurance,Insurance,00719230
Insurance Agents,Real-Estate & Insurance,Insurance,00716600
Insurance Agents & Brokers,Real-Estate & Insurance,Insurance,00716710
Insurance Brokers,Real-Estate & Insurance,Insurance,00717800
Insurance Claim Adjusters,Real-Estate & Insurance,Insurance,00718400
Insurance Company Rating Bureaus,Real-Estate & Insurance,Insurance,00719400
Insurance Consultants,Real-Estate & Insurance,Insurance,00719200
Insurance Medical Exams,Real-Estate & Insurance,Insurance,00719305
Leisure Vehicle Insurance,Real-Estate & Insurance,Insurance,02000084
Life Insurance,Real-Estate & Insurance,Insurance,02000085
Medical & Dental Plans,Real-Estate & Insurance,Insurance,00840075
Surety & Fidelity Bonds,Real-Estate & Insurance,Insurance,00170800
Travel Insurance,Real-Estate & Insurance,Insurance,02000086
Warranty Programs,Real-Estate & Insurance,Insurance,01414500
Chartered Appraisers,Real-Estate & Insurance,Real Estate,00062600
Property Management,Real-Estate & Insurance,Real Estate,01070710
Real Estate (General),Real-Estate & Insurance,Real Estate,01100200
Real Estate Agents & Brokers,Real-Estate & Insurance,Real Estate,01099675
Real Estate Appraisers,Real-Estate & Insurance,Real Estate,01099400
Real Estate Brokers & Sales Representatives,Real-Estate & Insurance,Real Estate,01099750
Real Estate Consultants,Real-Estate & Insurance,Real Estate,01099900
Real Estate Developers,Real-Estate & Insurance,Real Estate,01100000
Real Estate Investment,Real-Estate & Insurance,Real Estate,01100315
Real Estate Management,Real-Estate & Insurance,Real Estate,01100400
Real Estate Rental & Leasing,Real-Estate & Insurance,Real Estate,01100500
Artificial Flower & Plant Arrangements,Shopping & Specialty Stores,,00571725
Artificial Flower & Plant Manufacturers & Wholesalers,Shopping & Specialty Stores,,00571750
Auctions,Shopping & Specialty Stores,,00088000
Balloons,Shopping & Specialty Stores,,00120200
Catalogue & Online Shopping,Shopping & Specialty Stores,,00246200
"Cigar, Cigarette & Tobacco Manufacturers & Wholesalers",Shopping & Specialty Stores,,00291800
Consignment Shops,Shopping & Specialty Stores,,00351070
Consumer Protection Services,Shopping & Specialty Stores,,00360100
Department Stores,Shopping & Specialty Stores,,00417000
Discount Stores,Shopping & Specialty Stores,,00429000
Distribution Centres,Shopping & Specialty Stores,,00432060
Duty-Free Stores,Shopping & Specialty Stores,,00455800
Factory Outlets,Shopping & Specialty Stores,,00533075
Flea Markets,Shopping & Specialty Stores,,00565500
Florist Wholesalers,Shopping & Specialty Stores,,00570600
Florists & Flower Shops,Shopping & Specialty Stores,,00570200
Florists' Supplies,Shopping & Specialty Stores,,00570300
Games & Supplies,Shopping & Specialty Stores,,00609610
General Rental Service,Shopping & Specialty Stores,,01119000
General Stores,Shopping & Specialty Stores,,00623800
Gift Baskets,Shopping & Specialty Stores,,00628490
Gift Shops,Shopping & Specialty Stores,,00628800
Gift Wrapping Paper & Service,Shopping & Specialty Stores,,00629210
Giftware Manufacturers & Wholesalers,Shopping & Specialty Stores,,00629600
Go-Karts & Karting Tracks,Shopping & Specialty Stores,,00637100
Indoor Plant Maintenance & Wholesalers,Shopping & Specialty Stores,,01018200
Indoor Plant Stores,Shopping & Specialty Stores,,01018000
Liquidators,Shopping & Specialty Stores,,00777400
Magazine Dealers,Shopping & Specialty Stores,,00804400
Mail Order Services,Shopping & Specialty Stores,,00808420
Marijuana Retail,Shopping & Specialty Stores,,02000105
Military Goods,Shopping & Specialty Stores,,00866400
Model Construction & Hobby Shops,Shopping & Specialty Stores,,00672400
News Dealers,Shopping & Specialty Stores,,00906200
Novelty Stores,Shopping & Specialty Stores,,00912800
Picture Retailers,Shopping & Specialty Stores,,00999650
Salvage & Surplus Goods,Shopping & Specialty Stores,,01261400
Second-Hand Stores,Shopping & Specialty Stores,,01175400
Shopping Carts & Baskets,Shopping & Specialty Stores,,01200600
Shopping Centres & Malls,Shopping & Specialty Stores,,01200800
Shopping Mall Management & Leasing,Shopping & Specialty Stores,,01201000
Smoke Shops,Shopping & Specialty Stores,,01216825
Smokers' Article Manufacturers & Wholesalers,Shopping & Specialty Stores,,01216850
Telescopes,Shopping & Specialty Stores,,01294800
Tobacco Stores,Shopping & Specialty Stores,,00291700
Toy Manufacturers & Wholesalers,Shopping & Specialty Stores,,01342200
Toy Stores,Shopping & Specialty Stores,,01342000
Vaping Accessories,Shopping & Specialty Stores,,02000102
Variety Stores,Shopping & Specialty Stores,,01387400
Video Game Stores,Shopping & Specialty Stores,,01404868
Antique Dealers,Shopping & Specialty Stores,Antiques,00057600
Antique Reproductions,Shopping & Specialty Stores,Antiques,00057825
"Antique Restoration, Refinishing & Repair",Shopping & Specialty Stores,Antiques,00057800
Adaptive Clothing,Shopping & Specialty Stores,Apparel & Accessories,00306933
Asian Products,Shopping & Specialty Stores,Apparel & Accessories,00936800
Baskets,Shopping & Specialty Stores,Apparel & Accessories,00129000
Beads,Shopping & Specialty Stores,Apparel & Accessories,00134800
Binoculars,Shopping & Specialty Stores,Apparel & Accessories,00152800
Boots,Shopping & Specialty Stores,Apparel & Accessories,00172600
Boutiques,Shopping & Specialty Stores,Apparel & Accessories,00180002
Buttons,Shopping & Specialty Stores,Apparel & Accessories,00210000
Caps & Gowns,Shopping & Specialty Stores,Apparel & Accessories,00232000
Clocks,Shopping & Specialty Stores,Apparel & Accessories,00305200
Coin Dealers & Supplies,Shopping & Specialty Stores,Apparel & Accessories,00314800
Collectibles,Shopping & Specialty Stores,Apparel & Accessories,00316500
Dance Supplies,Shopping & Specialty Stores,Apparel & Accessories,00404200
Diamonds,Shopping & Specialty Stores,Apparel & Accessories,00423005
Dressmakers,Shopping & Specialty Stores,Apparel & Accessories,00449600
Electric Shavers,Shopping & Specialty Stores,Apparel & Accessories,01191800
Fabric Stores,Shopping & Specialty Stores,Apparel & Accessories,00532000
Fashion Accessories,Shopping & Specialty Stores,Apparel & Accessories,00535950
Feathers & Feather Products,Shopping & Specialty Stores,Apparel & Accessories,00537850
Felt & Felt Products,Shopping & Specialty Stores,Apparel & Accessories,00538800
First Nations & Aboriginal Goods,Shopping & Specialty Stores,Apparel & Accessories,00001225
Flag Poles,Shopping & Specialty Stores,Apparel & Accessories,00563800
Flags & Banners,Shopping & Specialty Stores,Apparel & Accessories,00564000
Formal Wear,Shopping & Specialty Stores,Apparel & Accessories,00580600
Fur Manufacturers & Wholesalers,Shopping & Specialty Stores,Apparel & Accessories,00598200
Fur Stores,Shopping & Specialty Stores,Apparel & Accessories,00597800
"Gold, Silver & Platinum Buyers & Sellers",Shopping & Specialty Stores,Apparel & Accessories,00637855
Handbag Manufacturers & Wholesalers,Shopping & Specialty Stores,Apparel & Accessories,00662200
Handbag Stores,Shopping & Specialty Stores,Apparel & Accessories,00662000
Hemp Products,Shopping & Specialty Stores,Apparel & Accessories,00671100
Home Theater Systems,Shopping & Specialty Stores,Apparel & Accessories,00674440
Jeans,Shopping & Specialty Stores,Apparel & Accessories,00729505
Jewellers & Jewellery Stores,Shopping & Specialty Stores,Apparel & Accessories,00731000
Jewellers' Supplies,Shopping & Specialty Stores,Apparel & Accessories,00731590
Jewellery Manufacturers,Shopping & Specialty Stores,Apparel & Accessories,00730800
Jewellery Wholesalers,Shopping & Specialty Stores,Apparel & Accessories,00731650
Leather,Shopping & Specialty Stores,Apparel & Accessories,00763200
Leather Clothing,Shopping & Specialty Stores,Apparel & Accessories,00763800
Leather Goods Manufacturers & Wholesalers,Shopping & Specialty Stores,Apparel & Accessories,00764600
Leather Goods Retailers,Shopping & Specialty Stores,Apparel & Accessories,00764400
Lingerie Manufacturers & Wholesalers,Shopping & Specialty Stores,Apparel & Accessories,00776000
Lingerie Stores,Shopping & Specialty Stores,Apparel & Accessories,00775800
Metaphysical Products & Services,Shopping & Specialty Stores,Apparel & Accessories,00515840
Monograms & Initials,Shopping & Specialty Stores,Apparel & Accessories,00876810
Needlework,Shopping & Specialty Stores,Apparel & Accessories,00902900
Pewter Products,Shopping & Specialty Stores,Apparel & Accessories,00983100
Precious & Semi-Precious Stones,Shopping & Specialty Stores,Apparel & Accessories,01057400
Religious Goods,Shopping & Specialty Stores,Apparel & Accessories,01114200
Ribbons,Shopping & Specialty Stores,Apparel & Accessories,01129200
Second-Hand Clothing,Shopping & Specialty Stores,Apparel & Accessories,00306850
Sewing Machine Manufacturers & Wholesalers,Shopping & Specialty Stores,Apparel & Accessories,01191000
Sewing Machine Supplies & Attachments,Shopping & Specialty Stores,Apparel & Accessories,01190800
Sewing Supplies,Shopping & Specialty Stores,Apparel & Accessories,00450000
Shoe Manufacturers & Wholesalers,Shopping & Specialty Stores,Apparel & Accessories,01200000
Stamps For Collectors,Shopping & Specialty Stores,Apparel & Accessories,01237800
Sweaters,Shopping & Specialty Stores,Apparel & Accessories,01264200
T-Shirts,Shopping & Specialty Stores,Apparel & Accessories,01268295
Watch Manufacturers & Wholesalers,Shopping & Specialty Stores,Apparel & Accessories,01417700
Watch Retailers,Shopping & Specialty Stores,Apparel & Accessories,01417500
Wicker Furniture & Products,Shopping & Specialty Stores,Apparel & Accessories,01428100
Zippers,Shopping & Specialty Stores,Apparel & Accessories,01442400
Art Foundries,Shopping & Specialty Stores,Arts Supplies & Services,00070575
"Art Galleries, Dealers & Consultants",Shopping & Specialty Stores,Arts Supplies & Services,00070600
Art Materials & Supplies,Shopping & Specialty Stores,Arts Supplies & Services,00076800
Art Metal Work,Shopping & Specialty Stores,Arts Supplies & Services,00070800
Art Publishers & Distributors,Shopping & Specialty Stores,Arts Supplies & Services,00070500
Art Restorations,Shopping & Specialty Stores,Arts Supplies & Services,00071400
Art Schools,Shopping & Specialty Stores,Arts Supplies & Services,00071600
Artists,Shopping & Specialty Stores,Arts Supplies & Services,00076400
Arts & Crafts Classes & Schools,Shopping & Specialty Stores,Arts Supplies & Services,00076970
Arts & Crafts Manufacturers & Wholesalers,Shopping & Specialty Stores,Arts Supplies & Services,00077037
Arts & Crafts Markets,Shopping & Specialty Stores,Arts Supplies & Services,00076900
Arts & Crafts Stores,Shopping & Specialty Stores,Arts Supplies & Services,00076950
Arts & Crafts Supplies,Shopping & Specialty Stores,Arts Supplies & Services,00077000
Bookbinders,Shopping & Specialty Stores,Arts Supplies & Services,00171800
Calligraphy & Calligraphers,Shopping & Specialty Stores,Arts Supplies & Services,00220627
Camera & Photo Equipment Stores,Shopping & Specialty Stores,Arts Supplies & Services,00993300
Canvas Goods,Shopping & Specialty Stores,Arts Supplies & Services,00230400
Ceramics Equipment & Supplies,Shopping & Specialty Stores,Arts Supplies & Services,00252800
Commercial Artists,Shopping & Specialty Stores,Arts Supplies & Services,00076200
Decals,Shopping & Specialty Stores,Arts Supplies & Services,00407035
Drafting Equipment & Supplies,Shopping & Specialty Stores,Arts Supplies & Services,00443100
Embroidering Machines,Shopping & Specialty Stores,Arts Supplies & Services,00489600
Goldsmiths & Silversmiths,Shopping & Specialty Stores,Arts Supplies & Services,01208650
Laminating Equipment & Supplies,Shopping & Specialty Stores,Arts Supplies & Services,00751190
Lamination Service,Shopping & Specialty Stores,Arts Supplies & Services,00751300
Pens & Pencils,Shopping & Specialty Stores,Arts Supplies & Services,00974700
Photo Printing & Finishing,Shopping & Specialty Stores,Arts Supplies & Services,00988150
Photo Restoration & Retouch,Shopping & Specialty Stores,Arts Supplies & Services,00988375
Photographic Reproduction,Shopping & Specialty Stores,Arts Supplies & Services,00991400
Photography Courses & Schools,Shopping & Specialty Stores,Arts Supplies & Services,00993400
Photography Equipment & Camera Repair,Shopping & Specialty Stores,Arts Supplies & Services,00993250
Photography Equipment & Supply Manufacturers & Wholesalers,Shopping & Specialty Stores,Arts Supplies & Services,00993325
Picture Restoration,Shopping & Specialty Stores,Arts Supplies & Services,00999400
Portrait & Wedding Photographers,Shopping & Specialty Stores,Arts Supplies & Services,00989800
Posters,Shopping & Specialty Stores,Arts Supplies & Services,01052400
Pottery,Shopping & Specialty Stores,Arts Supplies & Services,01053800
Pottery Equipment & Supplies,Shopping & Specialty Stores,Arts Supplies & Services,01054000
Scrapbooking,Shopping & Specialty Stores,Arts Supplies & Services,01169510
Sculpting Equipment & Supplies,Shopping & Specialty Stores,Arts Supplies & Services,01172200
Sculptors,Shopping & Specialty Stores,Arts Supplies & Services,01172000
Wood Carving,Shopping & Specialty Stores,Arts Supplies & Services,01434600
Book Stores,Shopping & Specialty Stores,Books,00171700
Book Wholesalers,Shopping & Specialty Stores,Books,00172350
Calendars,Shopping & Specialty Stores,Books,00220000
Rare & Used Books,Shopping & Specialty Stores,Books,00172275
Archery & Crossbows,Sports & Recreation,,00065200
"Arenas, Stadiums & Athletic Fields",Sports & Recreation,,00067335
Baseball Batting Cages & Ranges,Sports & Recreation,,00128200
Baseball Clubs & Lessons,Sports & Recreation,,00128620
Bingo Halls,Sports & Recreation,,00152725
Boxing Training & Lessons,Sports & Recreation,,00185400
Bungee Jumping,Sports & Recreation,,00204325
Campgrounds,Sports & Recreation,,00225200
Camping Equipment,Sports & Recreation,,00225400
Camps,Sports & Recreation,,00227000
"Curling Clubs, Rinks & Lessons",Sports & Recreation,,00398605
Dance Clubs & Ballrooms,Sports & Recreation,,00120500
Dance Lessons,Sports & Recreation,,00403800
Fireworks,Sports & Recreation,,00559800
Golf Cars & Carts,Sports & Recreation,,00638400
Golf Equipment Manufacturers & Wholesalers,Sports & Recreation,,00640200
Golf Lessons,Sports & Recreation,,00640625
Golf Practice Ranges,Sports & Recreation,,00640800
Golf Stores,Sports & Recreation,,00640000
Guns & Gunsmiths,Sports & Recreation,,00656800
Gymnastics Lessons & Clubs,Sports & Recreation,,00657660
Hay Rides,Sports & Recreation,,00665800
Hockey Clubs & Leagues,Sports & Recreation,,00672770
Horse Riding Centres,Sports & Recreation,,01130400
Horseback Rides,Sports & Recreation,,01345700
Hot-Air Balloons,Sports & Recreation,,00681635
Ice Skating Equipment & Supplies,Sports & Recreation,,01210400
Ice Skating Rinks,Sports & Recreation,,01210800
Laser Tag,Sports & Recreation,,00757635
Martial Arts Lessons & Schools,Sports & Recreation,,00828128
Mini-Golf,Sports & Recreation,,00639400
Outdoor & Indoor Court Construction,Sports & Recreation,,00377800
Paintball,Sports & Recreation,,00947450
Parks,Sports & Recreation,,00961000
Pool Halls,Sports & Recreation,,00152200
Private Golf Courses,Sports & Recreation,,00639600
Private Tennis Courts,Sports & Recreation,,01302200
Public Golf Courses,Sports & Recreation,,00639800
Public Tennis Courts,Sports & Recreation,,01302600
Race Tracks,Sports & Recreation,,01086000
Racquetball Courts,Sports & Recreation,,01086350
Recreation Centres,Sports & Recreation,,01104200
Riding Academies,Sports & Recreation,,01130000
Riding Apparel & Equipment,Sports & Recreation,,01130200
Rock Climbing,Sports & Recreation,,01133980
Scoreboards,Sports & Recreation,,01169200
Self-Defense & Martial Arts Equipment,Sports & Recreation,,00828126
Shooting Ranges,Sports & Recreation,,01200200
Skateboards,Sports & Recreation,,01210330
Ski Equipment Rental,Sports & Recreation,,01211660
Ski Equipment Stores,Sports & Recreation,,01211685
Skydiving Lessons & Equipment,Sports & Recreation,,01213400
Snowboards,Sports & Recreation,,01217745
Snowmobiles,Sports & Recreation,,01218400
Soccer Clubs & Lessons,Sports & Recreation,,01219110
Sporting Goods Manufacturers & Wholesalers,Sports & Recreation,,01232800
Sporting Goods Stores,Sports & Recreation,,01232400
Sports Medicine,Sports & Recreation,,01233140
Sports Tour Organization & Promotion,Sports & Recreation,,01233500
Sportswear Manufacturers & Wholesalers,Sports & Recreation,,01233800
Sportswear Stores,Sports & Recreation,,01233600
Squash Courts,Sports & Recreation,,01236150
Taxidermists,Sports & Recreation,,01287000
Tennis Clubs & Lessons,Sports & Recreation,,01303400
Tennis Rackets & Equipment,Sports & Recreation,,01302900
Tent Rental,Sports & Recreation,,01304600
Tents,Sports & Recreation,,01304400
Toy & Hobby Supply Manufacturers & Wholesalers,Sports & Recreation,,00672600
Trophies & Cups,Sports & Recreation,,01359810
Water Slides & Water Parks,Sports & Recreation,,01420140
Associations,Sports & Recreation,Associations & Clubs,00081202
Recreation & Activity Consultants,Sports & Recreation,Associations & Clubs,01104400
Sport Clubs & Organizations,Sports & Recreation,Associations & Clubs,01232850
Youth Organizations & Centres,Sports & Recreation,Associations & Clubs,01441800
Bicycle Accessories,Sports & Recreation,Bicycles,00146500
Bicycle Manufacturers & Wholesalers,Sports & Recreation,Bicycles,00147000
Bicycle Rental,Sports & Recreation,Bicycles,00146800
Bicycle Stores,Sports & Recreation,Bicycles,00146600
"Bikinis, Swimsuits & Swimming Accessories",Sports & Recreation,Boats & Watersports,01266430
Boat Builders & Designers,Sports & Recreation,Boats & Watersports,00159990
"Boat Covers, Upholstery & Tops",Sports & Recreation,Boats & Watersports,00160100
Boat Dealers & Brokers,Sports & Recreation,Boats & Watersports,00160225
Boat Equipment & Supplies,Sports & Recreation,Boats & Watersports,00160400
Boat Rental,Sports & Recreation,Boats & Watersports,00160500
Boat Repair & Maintenance,Sports & Recreation,Boats & Watersports,00160600
Boat Towing,Sports & Recreation,Boats & Watersports,01341800
Boat Transport,Sports & Recreation,Boats & Watersports,00160800
Boating & Sailing Courses,Sports & Recreation,Boats & Watersports,00161050
Canoe Trip Outfitters,Sports & Recreation,Boats & Watersports,00229700
Diving Lessons & Equipment,Sports & Recreation,Boats & Watersports,00432900
Fishery Consultants,Sports & Recreation,Boats & Watersports,00562700
Fishing & Hunting,Sports & Recreation,Boats & Watersports,00562850
Fishing & Hunting Outfitters,Sports & Recreation,Boats & Watersports,00563000
Fishing Bait,Sports & Recreation,Boats & Watersports,00562800
Fishing Parties,Sports & Recreation,Boats & Watersports,00563200
Fishing Supplies,Sports & Recreation,Boats & Watersports,00562600
Kayaks & Canoes,Sports & Recreation,Boats & Watersports,00229726
Marinas,Sports & Recreation,Boats & Watersports,00824600
